site,plot,site.plot,k_TSS,k_TP,k_f_OSS,k_f_SRP,k_OSS2ROP,k_SRP2PIP,k_ISS2PIP,k_shootM,shootM_sd,k_rootM,rootM_sd,k_BM2P_litter,k_BM2P_root,k_BM2P_shoot,k_BM2P_rootshoot,k_BM2P,sand,silt,clay,k_clay,k_f_fines,k_Ex_max,k_PSR,k_LOI,obs_TM_a,obs_IM_a,obs_OM_a,obs_TP_a,obs_IP_a,obs_OP_a,simyears,k_HRT,Z_a_actual,k_HRT_a,k_HRT_b,Z_a,k_DIP_E_O2,k_DIP_E_N2,IO_use_k_DIP_E,IO_Q_net,IO_HRT_power_model,est_Litter_gm2_mean,est_Litter_tp_gm2_mean,est_Litter_gm2_sd,est_Litter_tp_gm2_sd,obs_shootM_t49,obs_shootM_t92,obs_shootM_t458,street,street_abbrev1,street_abbrev2,id,sim_IM_deposition,sim_litterP_t365,sim_shootM_t49,sim_shootM_t92,sim_shootM_t458,sim_init_TP,sim_delta_TP,sim_delta_TP_yr,parsheet,sim_delta_TP_b,sim_delta_TP_b_yr,IO_Hx,scenario,obs_IM_a_minus_ash,Csource,Cx
OCSP,4,OCSP.4,24.5,0.112,0.544117647,0.277354264,0.001,1.419211325,9.38E-04,184.2188945,47.053772,505.2496394,277.9309908,1086.762397,0.001128456,0.004259469,0.002693963,0.001541173,24.085,68.415,7.5,0.075,0.75915,3.775993713,0.13297581,0.17311022,278.8148148,46.01266099,232.8021538,0.398397048,0.126733908,0.27166314,2,100,76.17881,1.1,-2.3,1.08033979,0.022903,0.145474909,TRUE,TRUE,FALSE,222.7451398,0.142453723,36.46432458,0.023320279,29.33333333,305.3333333,337.7733333,Swamp Rd,SwRd,Sw,Sw4,7.029002366,0.229684364,239.0533551,288.4548764,340.3118743,36.26090855,0.089684729,0.044842364,pars_lcbp_stream_2xC_100d,1.667897965,0.044842364,NA,stream_2xC_100d,22.73244561,stream,2
LC,0,LC.0,7,0.1435,0.657894737,0.404897959,0.001,0.898632399,0.002148532,150.7250817,93.7112975,1646.416928,353.2679194,1553.744318,9.96E-04,0.001658642,0.001327356,0.001047241,37.3,51.45,11.25,0.1125,0.627,3.363863592,0.121477974,0.239729493,313.1481481,52.94000455,260.2081436,0.960115663,0.2915142,0.668601463,2,10,83.52687857,0.71,-3.5,0,0.082485441,0.291137111,TRUE,TRUE,FALSE,183.5901976,0.28928446,88.87832993,0.140046255,60,309.3333333,227.9254426,Prindle Rd,PrRd,Pr,Pr0,41.89047859,0.160365082,226.4495866,293.5614044,431.4409537,24.99349025,1.408728483,0.704364242,pars_lcbp_stream_2xC_10d,1.258154278,0.704364242,NA,stream_2xC_10d,26.91919019,stream,2
LC,2,LC.2,7,0.1435,0.657894737,0.404897959,0.001,0.898632399,0.002148532,386.9032076,137.4791522,974.783356,374.4772829,755.1727749,0.001343714,0.001026814,0.001185264,0.00121508,16.73,52.02,31.25,0.3125,0.8327,4.14955365,0.085800625,0.188337597,461.6666667,35.86250912,425.8041575,0.367765561,0.095796323,0.271969238,2,10,83.91616429,0.71,-3.5,0.38928572,0.131826667,0.217345,TRUE,TRUE,FALSE,456.2152429,0.172538324,134.2054241,0.05075582,616,565.3333333,468.7305969,Prindle Rd,PrRd,Pr,Pr2,10.28418015,0.233317316,406.3011532,428.7093676,264.7641241,26.80984713,0.34203242,0.17101621,pars_lcbp_stream_2xC_10d,0.589994042,0.17101621,NA,stream_2xC_10d,0,stream,2
LC,4,LC.4,7,0.1435,0.657894737,0.404897959,0.001,0.898632399,0.002148532,281.625443,70.67210999,1223.052575,304.2292522,952.8972973,0.001335141,0.001157442,0.001246291,0.001282739,15.485,49.515,35,0.35,0.84515,3.858700772,0.069779359,0.152942887,446.037037,37.29926442,408.7377726,0.330085904,0.086596032,0.243489872,2,10,83.99556818,0.71,-3.5,0.46868961,0.191737778,0.265600111,TRUE,TRUE,FALSE,348.6223241,0.176736434,19.23333074,0.009750466,473.3333333,434.6666667,530.7807397,Prindle Rd,PrRd,Pr,Pr4,5.677048291,0.186444517,299.4493219,319.0332888,214.0257805,25.49468444,0.187347757,0.093673878,pars_lcbp_stream_2xC_10d,0.407912721,0.093673878,NA,stream_2xC_10d,0,stream,2
OCD,0,OCD.0,47.70833333,0.119,0.233108108,0.25872691,0.001,0.622696754,9.00E-04,354.0122067,108.4294913,1583.696284,619.9615315,1147.873853,0.00138204,0.001494126,0.001438083,0.001370888,6.45,78.55,15,0.15,0.9355,5.103527419,0.126295222,0.302884956,547.9259259,213.6969339,334.228992,1.252862509,0.700275821,0.552586688,2,10,77.29694,5.8,-3.6,0,0.026090917,0.054714833,TRUE,TRUE,FALSE,342.862534,0.358455798,75.67341571,0.079115015,636,450.6666667,904.8248561,Union St,UnSt,Un,Un0,591.1147426,0.266716108,383.8886366,416.300407,324.0689738,33.17004239,2.724405751,1.362202875,pars_lcbp_stream_2xC_10d,0.994490988,1.362202875,NA,stream_2xC_10d,180.2740347,stream,2
OCD,2,OCD.2,47.70833333,0.119,0.233108108,0.25872691,0.001,0.622696754,9.00E-04,333.2117674,122.4673759,2007.931757,1432.086419,1140.977366,0.002065388,0.002592825,0.002329107,0.002037138,6.255,83.745,10,0.1,0.93745,5.196789836,0.120631309,0.186592155,506,48.60192102,457.398079,0.7154125,0.316935833,0.398476667,2,10,77.66302273,5.8,-3.6,0.36608273,0.018806667,0.06557,TRUE,TRUE,FALSE,338.027632,0.244286584,55.63756039,0.04020828,369.3333333,453.3333333,624.040743,Union St,UnSt,Un,Un2,207.9352257,0.353488006,354.8521064,379.0431167,264.8951156,48.338224,1.07803157,0.539015785,pars_lcbp_stream_2xC_10d,0.689685794,0.539015785,NA,stream_2xC_10d,2.862113127,stream,2
OCD,4,OCD.4,47.70833333,0.119,0.233108108,0.25872691,0.001,0.622696754,9.00E-04,369.4242291,153.5606539,1387.694268,444.6400265,540.7189189,0.001258202,0.001557041,0.001407622,0.001214193,15.99,75.26,8.75,0.0875,0.8401,5.001352209,0.092330546,0.176546443,243.0740741,23.40005821,219.6740159,0.224107975,0.078156381,0.145951594,2,10,77.82101905,5.8,-3.6,0.52407905,0.022963917,0.060130667,TRUE,TRUE,FALSE,405.506307,0.183777432,96.56614676,0.043764248,809.3333333,488,802.6340366,Union St,UnSt,Un,Un4,98.98313207,0.219285659,385.9007991,406.0103589,246.8975008,32.70074521,0.598215117,0.299107558,pars_lcbp_stream_2xC_10d,0.435086753,0.299107558,NA,stream_2xC_10d,1.432656625,stream,2
OCSP,0,OCSP.0,24.5,0.112,0.544117647,0.277354264,0.001,1.419211325,9.38E-04,302.2356116,73.01311349,1064.508723,164.5863743,1421.035176,0.001486656,0.002742946,0.002114801,0.001618305,1.455,87.295,11.25,0.1125,0.98545,3.446903927,0.166431828,0.299142644,544.8518519,78.88075708,465.9710948,1.681420674,1.031133929,0.650286745,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.5199636,0.474308185,61.11634656,0.087439631,446.6666667,438.6666667,712.3534304,Swamp Rd,SwRd,Sw,Sw0,171.9609355,0.337793262,381.1322253,449.7457297,464.895844,33.00877685,1.556595994,0.778297997,pars_lcbp_stream_2xC_10d,2.226647178,0.778297997,NA,stream_2xC_10d,32.2836476,stream,2
OCSP,2,OCSP.2,24.5,0.112,0.544117647,0.277354264,0.001,1.419211325,9.38E-04,222.6413311,87.60674812,845.857586,435.4389314,1675.106061,0.001224977,0.003371581,0.002298279,0.001495516,2.965,82.035,15,0.15,0.97035,4.136546835,0.18547916,0.203979121,584.8148148,149.5114798,435.303335,1.37967072,0.763014012,0.616656708,2,10,75.18614762,1.1,-2.3,0.08767741,0.157933333,0.408546,TRUE,TRUE,FALSE,234.8744671,0.324222942,65.31431301,0.090160497,194.6666667,294.6666667,606.0630899,Swamp Rd,SwRd,Sw,Sw2,143.7317052,0.272010305,305.6711184,377.1006719,457.7488754,44.58459211,1.222980612,0.611490306,pars_lcbp_stream_2xC_10d,2.178358029,0.611490306,NA,stream_2xC_10d,105.9811463,stream,2
OCSP,4,OCSP.4,24.5,0.112,0.544117647,0.277354264,0.001,1.419211325,9.38E-04,184.2188945,47.053772,505.2496394,277.9309908,1086.762397,0.001128456,0.004259469,0.002693963,0.001541173,24.085,68.415,7.5,0.075,0.75915,3.775993713,0.13297581,0.17311022,278.8148148,46.01266099,232.8021538,0.398397048,0.126733908,0.27166314,2,10,76.17881,1.1,-2.3,1.08033979,0.022903,0.145474909,TRUE,TRUE,FALSE,222.7451398,0.142453723,36.46432458,0.023320279,29.33333333,305.3333333,337.7733333,Swamp Rd,SwRd,Sw,Sw4,8.434670613,0.229692383,239.0533551,288.4548764,340.4768785,36.26090855,0.099977259,0.049988629,pars_lcbp_stream_2xC_10d,1.66968328,0.049988629,NA,stream_2xC_10d,22.73244561,stream,2
LC,0,LC.0,1.75,0.035875,0.657894737,0.404897959,0.001,0.898632399,0.002148532,150.7250817,93.7112975,1646.416928,353.2679194,1553.744318,9.96E-04,0.001658642,0.001327356,0.001047241,37.3,51.45,11.25,0.1125,0.627,3.363863592,0.121477974,0.239729493,313.1481481,52.94000455,260.2081436,0.960115663,0.2915142,0.668601463,2,10,83.52687857,0.71,-3.5,0,0.082485441,0.291137111,TRUE,TRUE,FALSE,183.5901976,0.28928446,88.87832993,0.140046255,60,309.3333333,227.9254426,Prindle Rd,PrRd,Pr,Pr0,10.47267794,0.158367536,224.4086673,289.1367392,407.4179877,24.99349025,0.170345187,0.085172594,pars_lcbp_stream_0p5xC_10d,1.151139193,0.085172594,NA,stream_0p5xC_10d,26.91919019,stream,0.5
LC,2,LC.2,1.75,0.035875,0.657894737,0.404897959,0.001,0.898632399,0.002148532,386.9032076,137.4791522,974.783356,374.4772829,755.1727749,0.001343714,0.001026814,0.001185264,0.00121508,16.73,52.02,31.25,0.3125,0.8327,4.14955365,0.085800625,0.188337597,461.6666667,35.86250912,425.8041575,0.367765561,0.095796323,0.271969238,2,10,83.91616429,0.71,-3.5,0.38928572,0.131826667,0.217345,TRUE,TRUE,FALSE,456.2152429,0.172538324,134.2054241,0.05075582,616,565.3333333,468.7305969,Prindle Rd,PrRd,Pr,Pr2,2.571132087,0.231838833,405.6005206,427.7666,259.1989378,26.80984713,0.065605217,0.032802609,pars_lcbp_stream_0p5xC_10d,0.559063107,0.032802609,NA,stream_0p5xC_10d,0,stream,0.5
LC,4,LC.4,1.75,0.035875,0.657894737,0.404897959,0.001,0.898632399,0.002148532,281.625443,70.67210999,1223.052575,304.2292522,952.8972973,0.001335141,0.001157442,0.001246291,0.001282739,15.485,49.515,35,0.35,0.84515,3.858700772,0.069779359,0.152942887,446.037037,37.29926442,408.7377726,0.330085904,0.086596032,0.243489872,2,10,83.99556818,0.71,-3.5,0.46868961,0.191737778,0.265600111,TRUE,TRUE,FALSE,348.6223241,0.176736434,19.23333074,0.009750466,473.3333333,434.6666667,530.7807397,Prindle Rd,PrRd,Pr,Pr4,1.419288257,0.185592253,299.0358281,318.4838142,210.9996861,25.49468444,0.037562982,0.018781491,pars_lcbp_stream_0p5xC_10d,0.391225473,0.018781491,NA,stream_0p5xC_10d,0,stream,0.5
OCD,0,OCD.0,11.92708333,0.02975,0.233108108,0.25872691,0.001,0.622696754,9.00E-04,354.0122067,108.4294913,1583.696284,619.9615315,1147.873853,0.00138204,0.001494126,0.001438083,0.001370888,6.45,78.55,15,0.15,0.9355,5.103527419,0.126295222,0.302884956,547.9259259,213.6969339,334.228992,1.252862509,0.700275821,0.552586688,2,10,77.29694,5.8,-3.6,0,0.026090917,0.054714833,TRUE,TRUE,FALSE,342.862534,0.358455798,75.67341571,0.079115015,636,450.6666667,904.8248561,Union St,UnSt,Un,Un0,147.7785507,0.264185958,383.2347582,414.508331,306.1120223,33.17004239,0.605476711,0.302738356,pars_lcbp_stream_0p5xC_10d,0.774451632,0.302738356,NA,stream_0p5xC_10d,180.2740347,stream,0.5
OCD,2,OCD.2,11.92708333,0.02975,0.233108108,0.25872691,0.001,0.622696754,9.00E-04,333.2117674,122.4673759,2007.931757,1432.086419,1140.977366,0.002065388,0.002592825,0.002329107,0.002037138,6.255,83.745,10,0.1,0.93745,5.196789836,0.120631309,0.186592155,506,48.60192102,457.398079,0.7154125,0.316935833,0.398476667,2,10,77.66302273,5.8,-3.6,0.36608273,0.018806667,0.06557,TRUE,TRUE,FALSE,338.027632,0.244286584,55.63756039,0.04020828,369.3333333,453.3333333,624.040743,Union St,UnSt,Un,Un2,51.98397608,0.351904884,354.6771536,378.8148448,259.4331603,48.338224,0.242165053,0.121082526,pars_lcbp_stream_0p5xC_10d,0.569371151,0.121082526,NA,stream_0p5xC_10d,2.862113127,stream,0.5
OCD,4,OCD.4,11.92708333,0.02975,0.233108108,0.25872691,0.001,0.622696754,9.00E-04,369.4242291,153.5606539,1387.694268,444.6400265,540.7189189,0.001258202,0.001557041,0.001407622,0.001214193,15.99,75.26,8.75,0.0875,0.8401,5.001352209,0.092330546,0.176546443,243.0740741,23.40005821,219.6740159,0.224107975,0.078156381,0.145951594,2,10,77.82101905,5.8,-3.6,0.52407905,0.022963917,0.060130667,TRUE,TRUE,FALSE,405.506307,0.183777432,96.56614676,0.043764248,809.3333333,488,802.6340366,Union St,UnSt,Un,Un4,24.74577655,0.21876302,385.9007991,406.0103589,243.8728593,32.70074521,0.142194662,0.071097331,pars_lcbp_stream_0p5xC_10d,0.388361123,0.071097331,NA,stream_0p5xC_10d,1.432656625,stream,0.5
OCSP,0,OCSP.0,6.125,0.028,0.544117647,0.277354264,0.001,1.419211325,9.38E-04,302.2356116,73.01311349,1064.508723,164.5863743,1421.035176,0.001486656,0.002742946,0.002114801,0.001618305,1.455,87.295,11.25,0.1125,0.98545,3.446903927,0.166431828,0.299142644,544.8518519,78.88075708,465.9710948,1.681420674,1.031133929,0.650286745,2,10,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.5199636,0.474308185,61.11634656,0.087439631,446.6666667,438.6666667,712.3534304,Swamp Rd,SwRd,Sw,Sw0,42.9903354,0.337332023,381.1322253,449.7457297,445.779394,33.00877685,0.18096735,0.090483675,pars_lcbp_stream_0p5xC_10d,1.969533414,0.090483675,NA,stream_0p5xC_10d,32.2836476,stream,0.5
OCSP,2,OCSP.2,6.125,0.028,0.544117647,0.277354264,0.001,1.419211325,9.38E-04,222.6413311,87.60674812,845.857586,435.4389314,1675.106061,0.001224977,0.003371581,0.002298279,0.001495516,2.965,82.035,15,0.15,0.97035,4.136546835,0.18547916,0.203979121,584.8148148,149.5114798,435.303335,1.37967072,0.763014012,0.616656708,2,10,75.18614762,1.1,-2.3,0.08767741,0.157933333,0.408546,TRUE,TRUE,FALSE,234.8744671,0.324222942,65.31431301,0.090160497,194.6666667,294.6666667,606.0630899,Swamp Rd,SwRd,Sw,Sw2,35.93311563,0.271715312,305.6711184,377.1006719,446.4973515,44.58459211,0.112512871,0.056256436,pars_lcbp_stream_0p5xC_10d,2.005994965,0.056256436,NA,stream_0p5xC_10d,105.9811463,stream,0.5
OCSP,4,OCSP.4,6.125,0.028,0.544117647,0.277354264,0.001,1.419211325,9.38E-04,184.2188945,47.053772,505.2496394,277.9309908,1086.762397,0.001128456,0.004259469,0.002693963,0.001541173,24.085,68.415,7.5,0.075,0.75915,3.775993713,0.13297581,0.17311022,278.8148148,46.01266099,232.8021538,0.398397048,0.126733908,0.27166314,2,10,76.17881,1.1,-2.3,1.08033979,0.022903,0.145474909,TRUE,TRUE,FALSE,222.7451398,0.142453723,36.46432458,0.023320279,29.33333333,305.3333333,337.7733333,Swamp Rd,SwRd,Sw,Sw4,2.10866963,0.2296301,239.0533551,288.4548764,339.5153783,36.26090855,0.023306247,0.011653123,pars_lcbp_stream_0p5xC_10d,1.658535383,0.011653123,NA,stream_0p5xC_10d,22.73244561,stream,0.5
LC,0,LC.0,1.75,0.035875,0.657894737,0.404897959,0.001,0.898632399,0.002148532,150.7250817,93.7112975,1646.416928,353.2679194,1553.744318,9.96E-04,0.001658642,0.001327356,0.001047241,37.3,51.45,11.25,0.1125,0.627,3.363863592,0.121477974,0.239729493,313.1481481,52.94000455,260.2081436,0.960115663,0.2915142,0.668601463,2,100,83.52687857,0.71,-3.5,0,0.082485441,0.291137111,TRUE,TRUE,FALSE,183.5901976,0.28928446,88.87832993,0.140046255,60,309.3333333,227.9254426,Prindle Rd,PrRd,Pr,Pr0,2.445761417,0.15855512,224.5232201,289.7583316,404.7273602,24.99349025,-0.018302264,-0.009151132,pars_lcbp_stream_0p5xC_100d,1.136681223,-0.009151132,NA,stream_0p5xC_100d,26.91919019,stream,0.5
LC,2,LC.2,1.75,0.035875,0.657894737,0.404897959,0.001,0.898632399,0.002148532,386.9032076,137.4791522,974.783356,374.4772829,755.1727749,0.001343714,0.001026814,0.001185264,0.00121508,16.73,52.02,31.25,0.3125,0.8327,4.14955365,0.085800625,0.188337597,461.6666667,35.86250912,425.8041575,0.367765561,0.095796323,0.271969238,2,100,83.91616429,0.71,-3.5,0.38928572,0.131826667,0.217345,TRUE,TRUE,FALSE,456.2152429,0.172538324,134.2054241,0.05075582,616,565.3333333,468.7305969,Prindle Rd,PrRd,Pr,Pr2,1.306235206,0.231789817,405.6138412,427.7589629,258.7716115,26.80984713,0.03216372,0.01608186,pars_lcbp_stream_0p5xC_100d,0.556173828,0.01608186,NA,stream_0p5xC_100d,0,stream,0.5
LC,4,LC.4,1.75,0.035875,0.657894737,0.404897959,0.001,0.898632399,0.002148532,281.625443,70.67210999,1223.052575,304.2292522,952.8972973,0.001335141,0.001157442,0.001246291,0.001282739,15.485,49.515,35,0.35,0.84515,3.858700772,0.069779359,0.152942887,446.037037,37.29926442,408.7377726,0.330085904,0.086596032,0.243489872,2,100,83.99556818,0.71,-3.5,0.46868961,0.191737778,0.265600111,TRUE,TRUE,FALSE,348.6223241,0.176736434,19.23333074,0.009750466,473.3333333,434.6666667,530.7807397,Prindle Rd,PrRd,Pr,Pr4,0.911934295,0.18554459,299.0367549,318.4777008,210.8245506,25.49468444,0.02371636,0.01185818,pars_lcbp_stream_0p5xC_100d,0.389969627,0.01185818,NA,stream_0p5xC_100d,0,stream,0.5
OCD,0,OCD.0,11.92708333,0.02975,0.233108108,0.25872691,0.001,0.622696754,9.00E-04,354.0122067,108.4294913,1583.696284,619.9615315,1147.873853,0.00138204,0.001494126,0.001438083,0.001370888,6.45,78.55,15,0.15,0.9355,5.103527419,0.126295222,0.302884956,547.9259259,213.6969339,334.228992,1.252862509,0.700275821,0.552586688,2,100,77.29694,5.8,-3.6,0,0.026090917,0.054714833,TRUE,TRUE,FALSE,342.862534,0.358455798,75.67341571,0.079115015,636,450.6666667,904.8248561,Union St,UnSt,Un,Un0,43.41208072,0.26397938,383.2150004,414.5891555,302.8622163,33.17004239,0.185747503,0.092873752,pars_lcbp_stream_0p5xC_100d,0.732235314,0.092873752,NA,stream_0p5xC_100d,180.2740347,stream,0.5
OCD,2,OCD.2,11.92708333,0.02975,0.233108108,0.25872691,0.001,0.622696754,9.00E-04,333.2117674,122.4673759,2007.931757,1432.086419,1140.977366,0.002065388,0.002592825,0.002329107,0.002037138,6.255,83.745,10,0.1,0.93745,5.196789836,0.120631309,0.186592155,506,48.60192102,457.398079,0.7154125,0.316935833,0.398476667,2,100,77.66302273,5.8,-3.6,0.36608273,0.018806667,0.06557,TRUE,TRUE,FALSE,338.027632,0.244286584,55.63756039,0.04020828,369.3333333,453.3333333,624.040743,Union St,UnSt,Un,Un2,28.39273006,0.351815377,354.6765236,378.8007463,258.750934,48.338224,0.132728577,0.066364288,pars_lcbp_stream_0p5xC_100d,0.554149414,0.066364288,NA,stream_0p5xC_100d,2.862113127,stream,0.5
OCD,4,OCD.4,11.92708333,0.02975,0.233108108,0.25872691,0.001,0.622696754,9.00E-04,369.4242291,153.5606539,1387.694268,444.6400265,540.7189189,0.001258202,0.001557041,0.001407622,0.001214193,15.99,75.26,8.75,0.0875,0.8401,5.001352209,0.092330546,0.176546443,243.0740741,23.40005821,219.6740159,0.224107975,0.078156381,0.145951594,2,100,77.82101905,5.8,-3.6,0.52407905,0.022963917,0.060130667,TRUE,TRUE,FALSE,405.506307,0.183777432,96.56614676,0.043764248,809.3333333,488,802.6340366,Union St,UnSt,Un,Un4,18.39998405,0.218742013,385.9007991,406.0103589,243.6633638,32.70074521,0.097862931,0.048931466,pars_lcbp_stream_0p5xC_100d,0.383988105,0.048931466,NA,stream_0p5xC_100d,1.432656625,stream,0.5
OCSP,0,OCSP.0,6.125,0.028,0.544117647,0.277354264,0.001,1.419211325,9.38E-04,302.2356116,73.01311349,1064.508723,164.5863743,1421.035176,0.001486656,0.002742946,0.002114801,0.001618305,1.455,87.295,11.25,0.1125,0.98545,3.446903927,0.166431828,0.299142644,544.8518519,78.88075708,465.9710948,1.681420674,1.031133929,0.650286745,2,100,75.09847021,1.1,-2.3,0,0.11172225,0.22923775,TRUE,TRUE,FALSE,331.5199636,0.474308185,61.11634656,0.087439631,446.6666667,438.6666667,712.3534304,Swamp Rd,SwRd,Sw,Sw0,19.30355303,0.337303814,381.1322253,449.7457297,443.8253393,33.00877685,0.010169567,0.005084784,pars_lcbp_stream_0p5xC_100d,1.932986882,0.005084784,NA,stream_0p5xC_100d,32.2836476,stream,0.5
OCSP,2,OCSP.2,6.125,0.028,0.544117647,0.277354264,0.001,1.419211325,9.38E-04,222.6413311,87.60674812,845.857586,435.4389314,1675.106061,0.001224977,0.003371581,0.002298279,0.001495516,2.965,82.035,15,0.15,0.97035,4.136546835,0.18547916,0.203979121,584.8148148,149.5114798,435.303335,1.37967072,0.763014012,0.616656708,2,100,75.18614762,1.1,-2.3,0.08767741,0.157933333,0.408546,TRUE,TRUE,FALSE,234.8744671,0.324222942,65.31431301,0.090160497,194.6666667,294.6666667,606.0630899,Swamp Rd,SwRd,Sw,Sw2,17.13172693,0.271692347,305.6711184,377.1006719,444.902703,44.58459211,-0.025456025,-0.012728012,pars_lcbp_stream_0p5xC_100d,1.98074778,-0.012728012,NA,stream_0p5xC_100d,105.9811463,stream,0.5
